Name,Description,Icon_color,Long,Lat,URL,Thumb_URL
North end,"The High Line's current northern terminus is on 30th Street west of 10th Avenue. The southern portion of the park, between Gansevoort and 20th Streets, opened on June 9, 2009, with a second section opening in June 2011. Plans call for an additonal extension west and north beyond the fence.",R,-74.00216,40.752587,http://farm8.staticflickr.com/7200/7001469997_a0e641f0bf_b.jpg,http://farm8.staticflickr.com/7200/7001469997_a0e641f0bf_m.jpg
Enjoying spring sunshine,"The original elevated rail line was built between 1929 and 1934 to safely bring New York Central freight trains to warehouses and factories near Manhattan's Hudson River docks. The line was elevated after multiple accidents earned 10th Avenue the monicker ""Death Avenue.""",R,-74.001967,40.752116,http://farm8.staticflickr.com/7206/7001469107_59e7e34cfa_b.jpg,http://farm8.staticflickr.com/7206/7001469107_59e7e34cfa_m.jpg
Phone call,"Abandoned in 1980, the elevated railway was colonized by opportunistic plants, and became an aerial green stripe through a gray urban landscape.",R,-74.001924,40.751969,http://farm7.staticflickr.com/6112/6855355300_c8851cfe45_b.jpg,http://farm7.staticflickr.com/6112/6855355300_c8851cfe45_m.jpg
Conversation,"Since its 2009 opening the High Line has become an immensely popular gathering place. Locals rub elbows with tourists, and nearly everyone snaps photographs, pauses for conversation, and soaks up the sunshine.",R,-74.002868,40.750441,http://farm8.staticflickr.com/7138/6855357956_a1c37e5469_b.jpg,http://farm8.staticflickr.com/7138/6855357956_a1c37e5469_m.jpg
Brick wall,"The elevated park offers close-ups and vistas of a rapidly changing urban panorama, with older, brick-and-mortar industry in vibrant juxtaposition with upscale new residential buildings.",R,-74.00304,40.750295,http://farm7.staticflickr.com/6231/6855357288_9d8426c42b_b.jpg,http://farm7.staticflickr.com/6231/6855357288_9d8426c42b_m.jpg
Residences available,"""Pretty much everyone who walks the weed-choked High Line agrees that its magic arises from its isolation,"" wrote New York Times architecture critic Nicolai Ouroussoff in 2006. His worries of gentrification have been borne out, with slick new apartment towers rapidly replacing warehouses and meat-packing businesses.",R,-74.003877,40.74893,http://farm8.staticflickr.com/7180/7001476641_cf8f06183e_b.jpg,http://farm8.staticflickr.com/7180/7001476641_cf8f06183e_m.jpg
Tall grass,"According to Friends of the High Line, its plantings are ""inspired by the self-seeded landscape that grew on the out-of-use elevated rail tracks during the 25 years after trains stopped running.""",R,-74.004027,40.748751,http://farm8.staticflickr.com/7178/7001477595_0488aca88b_b.jpg,http://farm8.staticflickr.com/7178/7001477595_0488aca88b_m.jpg
Three benches,"Benches and other fixtures reflect a linear, industrial aesthetic. The designers call this bench design a ""peel-up,"" as if strips of pavement had been lifted from the surface.",R,-74.004649,40.748052,http://farm8.staticflickr.com/7202/6855362676_88f66a6c8a_b.jpg,http://farm8.staticflickr.com/7202/6855362676_88f66a6c8a_m.jpg
Green shade,"The 23rd Street Lawn is a popular fair-weather gathering place. A small patch of grass in a heavily-used park inevitably is subject to wear and tear. To keep it green, the lawn is closed on Mondays and Tuesdays during warmer months, as well as after heavy rainstorms.",R,-74.004735,40.747824,http://farm8.staticflickr.com/7040/7001507345_0a9934d473_b.jpg,http://farm8.staticflickr.com/7040/7001507345_0a9934d473_m.jpg
Stands,"The High Line's design is a collaboration among James Comer Field Operations, Diller Scofidio + Renfro, and planting designer Piet Oudolf. The park includes several areas designed as gathering places and spontaneous performance spaces.",R,-74.005079,40.74732,http://farm8.staticflickr.com/7079/7001509671_674e3564e2_b.jpg,http://farm8.staticflickr.com/7079/7001509671_674e3564e2_m.jpg
Early bloom,The High Line's plant list includes giant pussy willow. This and other plants were blooming ahead of schedule due to an unusually mild winter.,R,-74.005186,40.747271,http://farm8.staticflickr.com/7050/7001512467_90b130c637_b.jpg,http://farm8.staticflickr.com/7050/7001512467_90b130c637_m.jpg
Futuristic,The area near 22nd Street has been transformed by recent construction. The structure with diagonal struts is an apartment building designed by Neil Denari.,R,-74.005272,40.747174,http://farm8.staticflickr.com/7088/6855398006_5af64ac148_b.jpg,http://farm8.staticflickr.com/7088/6855398006_5af64ac148_m.jpg
Snapshot,"Many visitors bring cameras to take photos of the park, the surrounding cityscape--and each other.",R,-74.005358,40.746963,http://farm7.staticflickr.com/6047/7001515005_c3b6472b7d_b.jpg,http://farm7.staticflickr.com/6047/7001515005_c3b6472b7d_m.jpg
Tracks,Throughout the High Line are carefully-preserved remnants of its history as a rail corridor. Plantings and fixtures are closely integrated with tracks and cross-ties.,R,-74.006044,40.746003,http://farm7.staticflickr.com/6214/7001517915_3a54036960_b.jpg,http://farm7.staticflickr.com/6214/7001517915_3a54036960_m.jpg
Diagonal,Concrete planks taper into planted areas; the designers' goal was to blur the edges between pavement and plantings.,R,-74.006881,40.744866,http://farm8.staticflickr.com/7202/7001519247_2ea87a72dd_b.jpg,http://farm8.staticflickr.com/7202/7001519247_2ea87a72dd_m.jpg
10th Avenue Square,Tenth Avenue Square is suspended directly above the street. The amphitheater-like space lets visitors descend into the structure and gaze through plate glass windows at the the traffic below.,R,-74.006924,40.743906,http://farm8.staticflickr.com/7183/6855404766_50db8ac69e_b.jpg,http://farm8.staticflickr.com/7183/6855404766_50db8ac69e_m.jpg
Street view,"Is it restful to stare at traffic? Apparently so, at least from this peaceful vantage point.",R,-74.006902,40.743858,http://farm8.staticflickr.com/7253/6855404034_bef2c2458c_b.jpg,http://farm8.staticflickr.com/7253/6855404034_bef2c2458c_m.jpg
Artwork,"The High Line tunnels through a former Nabisco factory, now home to the Chelsea Market. Artist Spencer Finch adapted the factory windows for an installation entitled ""The River That Flows Both Ways."" Glass panes display colors derived from photographs of the Hudson River's surface.",R,-74.007181,40.74311,http://farm7.staticflickr.com/6039/6855407604_83e43888e4_b.jpg,http://farm7.staticflickr.com/6039/6855407604_83e43888e4_m.jpg
Loungers,On an early spring weekday most of the prime spots were occupied. Competition is intense on warm weekend afternoons.,R,-74.007439,40.742687,http://farm8.staticflickr.com/7268/6855408428_e3f2592c7c_b.jpg,http://farm8.staticflickr.com/7268/6855408428_e3f2592c7c_m.jpg
Switch,Birches grow where trains once lumbered. The tracks were removed during park construction; many sections were carefully reinstalled to maintain the historical character of the park.,R,-74.007761,40.741825,http://farm7.staticflickr.com/6116/6855411696_46ddefc239_b.jpg,http://farm7.staticflickr.com/6116/6855411696_46ddefc239_m.jpg
Quality Veal,"Although gentrification is accelerating, vestiges of the past linger. Near this building are Milano's Italian Sausage and the London Meat Company.",R,-74.00789,40.741712,http://farm8.staticflickr.com/7214/7001531519_ca2070af9b_b.jpg,http://farm8.staticflickr.com/7214/7001531519_ca2070af9b_m.jpg
Pier 54,"Although the High Line runs a block or two east of the Hudson River shoreline, it offers frequent views of the river. Pier 54, where Cunard liners used to dock, is now part of Hudson River Park.",R,-74.007997,40.741273,http://farm8.staticflickr.com/7122/7001526051_e928c95dea_b.jpg,http://farm8.staticflickr.com/7122/7001526051_e928c95dea_m.jpg
Underpass,A chic new Standard Hotel looms above the southern end of the High Line. The building is among the most visible signs of the ongoing transformation of the Meatpacking District from industrial to upscale.,R,-74.008104,40.740411,http://farm7.staticflickr.com/6101/7001528875_6ff2350ab4_b.jpg,http://farm7.staticflickr.com/6101/7001528875_6ff2350ab4_m.jpg
Construction,Construction workers swarm over one of several busy sites along the High Line. On weekdays visitors are rarely out of earshot of construction activity.,R,-74.008297,40.739923,http://farm8.staticflickr.com/7100/7001530311_1e303ce47a_b.jpg,http://farm8.staticflickr.com/7100/7001530311_1e303ce47a_m.jpg
High Line sign,The broadleaf symbol of the New York City Parks and Recreation Department gives evidence to the High Line's official status as a city park.,R,-74.008168,40.739647,http://farm8.staticflickr.com/7095/6855417984_3c6aa42c0e_b.jpg,http://farm8.staticflickr.com/7095/6855417984_3c6aa42c0e_m.jpg
Lunch break,"A haven not only for tourists and hip young urban professionals, the park lures a construction worker on a lunch break.",R,-74.008168,40.739517,http://farm8.staticflickr.com/7275/7001533425_5995302567_b.jpg,http://farm8.staticflickr.com/7275/7001533425_5995302567_m.jpg
